"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:77E9kDXT7gJIkxUaTPu6Ub","Chand Se Parda","spotify:artist:4K6blSRoklNdpw4mzLxwfn","Kumar Sanu","spotify:album:77EAr4ZN5L8hJsTNsVUlYb","Aao Pyar Karen","spotify:artist:4tma2wxDchrifG8Pflic4Q","Aadesh Shrivastava","1994-11-25","https://i.scdn.co/image/ab67616d0000b273f6a91e3d895fceb3b97c0b6f","1","1","379739","https://p.scdn.co/mp3-preview/e78faa769df638a4654022d3299eb277fc1e6c54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","INS939400046","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:3qbSubaQIBgUM13S7kzWOd","Kisi Din Banoongi Main","spotify:artist:3gBKY0y3dFFVRqicLnVZYz, spotify:artist:70B80Lwx2sxti0M1Ng9e8K","Alka Yagnik, Udit Narayan","spotify:album:4Dj8WYLlv47T0W03zDdFJI","Raja (Original Motion Picture Soundtrack)","spotify:artist:0xHXoShMJw3xDArjL8IHtt","Nadeem Shravan","1995-06-23","https://i.scdn.co/image/ab67616d0000b2736867fa779258eedae633c587","1","6","438040","https://p.scdn.co/mp3-preview/105cd6a9138fee01c1534667ca8d8e5eb2e64149?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","INT109500061","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:6swiB2EqcDcBS2lojpZlaA","Mujhse Mohabbat Ka","spotify:artist:4K6blSRoklNdpw4mzLxwfn, spotify:artist:3gBKY0y3dFFVRqicLnVZYz","Kumar Sanu, Alka Yagnik","spotify:album:63Y2RfrgCziZL6Jz8YCqV1","Hum Hain Rahi Pyar Ke (Original Motion Picture Soundtrack)","spotify:artist:0xHXoShMJw3xDArjL8IHtt","Nadeem Shravan","1993-07-05","https://i.scdn.co/image/ab67616d0000b2735a5d99f08ec514c24dc3ac01","1","4","311906","https://p.scdn.co/mp3-preview/da4e7219db656efa0c2299a514d60bbbe4f65b41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","INT109300048","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:6IENsn6l4ngqL6C2ucuKia","Dil Kehta Hai","spotify:artist:4K6blSRoklNdpw4mzLxwfn, spotify:artist:3gBKY0y3dFFVRqicLnVZYz","Kumar Sanu, Alka Yagnik","spotify:album:1zwT18Vm7F5zPBNvRQp71F","Akele Hum Akele Tum (Original Motion Picture Soundtrack)","spotify:artist:71hjb5G92mGoKRSAW3Cj00","Anu Malik","1995-07-25","https://i.scdn.co/image/ab67616d0000b273cf01fe6536d9a76d1df94a65","1","3","415666","https://p.scdn.co/mp3-preview/a70e5d053ca28faa5ec3a4753ac22b296655b0e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","INV119500461","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:7vO5tXQx4pCtHiIMjgvCeU","Dekhne Walon Ne - From ''Chori Chori Chupke Chupke''","spotify:artist:70B80Lwx2sxti0M1Ng9e8K, spotify:artist:3gBKY0y3dFFVRqicLnVZYz","Udit Narayan, Alka Yagnik","spotify:album:1zV2FaaGWqtQtsZgiW6Nv5","Chori Chori Chupke Chupke (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2000-01-01","https://i.scdn.co/image/ab67616d0000b27390a4d27310625151305bdb26","1","2","373133","","false","54","INUM70500457","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:6m2UYr6ZJN8wtDzOauBIb9","Aksar Is Duniya Mein","spotify:artist:3gBKY0y3dFFVRqicLnVZYz","Alka Yagnik","spotify:album:3fP94oJh2aZzegj1DZtfUv","Dhadkan (Original Motion Picture Soundtrack)","spotify:artist:0xHXoShMJw3xDArjL8IHtt, spotify:artist:5sifufajls8Q6k04Y4F8mH","Nadeem Shravan, Sameer Anjaan","2000-07-02","https://i.scdn.co/image/ab67616d0000b273cac69d193e1c48f5c87893e5","1","7","342935","https://p.scdn.co/mp3-preview/38fce2a9530950850ab134716f1e6e28343ecff3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","INV110000490","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:3jNAbt95cAN8Z3LzMPfoUp","Aaye Ho Meri Zindagi Mein - Male Version","spotify:artist:70B80Lwx2sxti0M1Ng9e8K","Udit Narayan","spotify:album:5G16twTP5dS4B99YLakLE6","Raja Hindustani (Original Motion Picture Soundtrack)","spotify:artist:0xHXoShMJw3xDArjL8IHtt","Nadeem Shravan","1996-11-15","https://i.scdn.co/image/ab67616d0000b273261cc572f6df52bfd2ad5743","1","2","362933","https://p.scdn.co/mp3-preview/d76093095bb7ae127335ba954797593672fd4e27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","INT109600006","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:3K5GgWtOwiBBLL4h3guKIE","Phool Maangu Na Bahaar Maangu","spotify:artist:3gBKY0y3dFFVRqicLnVZYz, spotify:artist:70B80Lwx2sxti0M1Ng9e8K","Alka Yagnik, Udit Narayan","spotify:album:4Dj8WYLlv47T0W03zDdFJI","Raja (Original Motion Picture Soundtrack)","spotify:artist:0xHXoShMJw3xDArjL8IHtt","Nadeem Shravan","1995-06-23","https://i.scdn.co/image/ab67616d0000b2736867fa779258eedae633c587","1","8","321360","https://p.scdn.co/mp3-preview/b750da43f1ca393ad6b2415f694815e328cc56f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","INT109500063","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:6Kb2jbGMqs3zL7cgv9dket","Is Tarah Aashiqui Ka - Kumar Sanu Version","spotify:artist:4K6blSRoklNdpw4mzLxwfn","Kumar Sanu","spotify:album:1uNaeleKgw6CBTU1m4zQgs","Imtihan (Original Motion Picture Soundtrack)","spotify:artist:71hjb5G92mGoKRSAW3Cj00","Anu Malik","1994-03-11","https://i.scdn.co/image/ab67616d0000b273a987bb655cb167d9edb31ec6","1","7","443000","https://p.scdn.co/mp3-preview/c6f5d1726fada0e5b03e59bb5a3c17dab4b8c26b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","INT109400052","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:4NAM8AbGxIkzUWlTojNBzI","Kahin Mujhe Pyar Hua Toh Nahin","spotify:artist:3gBKY0y3dFFVRqicLnVZYz, spotify:artist:4K6blSRoklNdpw4mzLxwfn","Alka Yagnik, Kumar Sanu","spotify:album:3wIeKD44ztijKo5vyzGIRe","Rang (Original Motion Picture Soundtrack)","spotify:artist:0xHXoShMJw3xDArjL8IHtt","Nadeem Shravan","1993-07-09","https://i.scdn.co/image/ab67616d0000b273bd2293acbdb847bc57e5ebe9","1","4","423986","https://p.scdn.co/mp3-preview/0b2f97c224d5d56a813bc05f53410f7764f832b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","INT109300021","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:3xGwSN1dDdpN2s8oP8DRrC","Dheere Dheere Se Meri Zindagi Mein Aana","spotify:artist:4hkB2bR5ek6lJChj6aunCn, spotify:artist:4K6blSRoklNdpw4mzLxwfn, spotify:artist:7op82a4Hg19bs5i63swfII, spotify:artist:4Cm1PcLZ3hgYp0t675POEI","Anuradha Paudwal, Kumar Sanu, Super Cassettes Industries Private Limited, Rani Malik","spotify:album:7mUTDWUBOPcpXTALk1TJuX","Aashiqui","spotify:artist:7op82a4Hg19bs5i63swfII","Super Cassettes Industries Private Limited","1989-12-26","https://i.scdn.co/image/ab67616d0000b27349e862c57d46af9c26a97201","1","5","329640","https://p.scdn.co/mp3-preview/4978317a5ae2acf188931a5c06b5ce8de57d6a1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","INS189010005","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:2lcu8WfAs8qw8crZf4ybRi","Too Shayar Hai Main Teri Shayari (From ""Saajan"")","spotify:artist:3gBKY0y3dFFVRqicLnVZYz","Alka Yagnik","spotify:album:7C5rz1btSaMJiDzuiLa6da","My Best Collection - Alka Yagnik","spotify:artist:3gBKY0y3dFFVRqicLnVZYz","Alka Yagnik","2016-07-01","https://i.scdn.co/image/ab67616d0000b2733cc5a29b733d3857617509f4","1","4","389906","https://p.scdn.co/mp3-preview/22779f809f1a7651e3a7a91ecdab732f2c21c5ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","INV119300924","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:2gcxE9tLP1pAnK5Np1MVKp","Aankhon Mein Base Ho Tum - Male Version","spotify:artist:71hjb5G92mGoKRSAW3Cj00, spotify:artist:3gBKY0y3dFFVRqicLnVZYz, spotify:artist:2ZRrPOjBIWoKK5rHedLijj, spotify:artist:1VPlwlXg09ywVA6p1QmACl","Anu Malik, Alka Yagnik, Abhijeet, Maya Govind","spotify:album:6fr5rb671LoQfSfinZ9v3c","Takkar (Original Motion Picture Soundtrack)","spotify:artist:71hjb5G92mGoKRSAW3Cj00","Anu Malik","1995-07-25","https://i.scdn.co/image/ab67616d0000b2733df604eb1ce502af78af9204","1","2","335026","https://p.scdn.co/mp3-preview/25c16c4daa35a47c358c3bb1094f7d640e3ec020?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","INT109700095","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:4n5vaqluWQjCrKr4JLZIRh","Tere Dar Par Sanam - Male Version","spotify:artist:4K6blSRoklNdpw4mzLxwfn","Kumar Sanu","spotify:album:2HcJ0Adf3w6NnsZYbFesjG","Phir Teri Kahani Yaad Aayee (Original Motion Picture Soundtrack)","spotify:artist:71hjb5G92mGoKRSAW3Cj00","Anu Malik","1993-07-30","https://i.scdn.co/image/ab67616d0000b27308263c60c0c87952788a1881","1","9","368866","https://p.scdn.co/mp3-preview/6bb5f359f6bf7fc80c1795176976b4c8a84d6c97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","INT109300001","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:6yTtUUlsBXN9h9ZxTxGWMS","Bahut Pyar Karte Hai - Male Version","spotify:artist:2ae6PxICSOZHvjqiCcgon8","S. P. Balasubrahmanyam","spotify:album:0vM40ZvKzbI97anisDuMGJ","Saajan (Original Motion Picture Soundtrack)","spotify:artist:0xHXoShMJw3xDArjL8IHtt, spotify:artist:5sifufajls8Q6k04Y4F8mH","Nadeem Shravan, Sameer Anjaan","1993-06-20","https://i.scdn.co/image/ab67616d0000b2739711c40e3ffc7e7f179336ed","1","9","185400","https://p.scdn.co/mp3-preview/1818dbd6b39415b9f49f2532ac7735690879f329?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","INV119300928","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:38nEeQx99WlPSM9KUIaEid","Ek Sanam Chahiye Aashiqui Ke Liye (Female Version)","spotify:artist:4hkB2bR5ek6lJChj6aunCn, spotify:artist:7op82a4Hg19bs5i63swfII, spotify:artist:5sifufajls8Q6k04Y4F8mH","Anuradha Paudwal, Super Cassettes Industries Private Limited, Sameer Anjaan","spotify:album:7mUTDWUBOPcpXTALk1TJuX","Aashiqui","spotify:artist:7op82a4Hg19bs5i63swfII","Super Cassettes Industries Private Limited","1989-12-26","https://i.scdn.co/image/ab67616d0000b27349e862c57d46af9c26a97201","1","7","371696","https://p.scdn.co/mp3-preview/573494f690c40de6239850870911d656487a8952?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","INS189010007","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:2oAy8P7WfjbZW0cWw6RnAG","Chhupana Bhi Nahin Aata (From ""Baazigar"")","spotify:artist:4Qpbhxe0sO2zhvUVfODdZw","Pankaj Udhas","spotify:album:5Mz7uZt7yAnIPpPebxpEE0","Bollywood & Ghazal Collection of Pankaj Udhas","spotify:artist:4Qpbhxe0sO2zhvUVfODdZw","Pankaj Udhas","2016-07-01","https://i.scdn.co/image/ab67616d0000b2732fb64ec05c61802bec19fe81","1","5","322066","https://p.scdn.co/mp3-preview/ff53500237d888a1e54b19cbf51d4e45f95dc7b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","INV119300499","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
"spotify:track:1u6x6QYDKfl5YEmSEnYqEX","Dil Hai Ke Manta Nahin","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","spotify:album:2azyipdkosVEQFLWDaHGi3","Dil Hai Ke Manta Nahin","spotify:artist:4PhJv48oy3YJMQ5hDt9BFu","Bhushan Dua","1991-11-01","https://i.scdn.co/image/ab67616d0000b273eef5d8ba5626de47f6878c42","1","1","370493","https://p.scdn.co/mp3-preview/1bbabf6e62d920ea827a785b0a76d1ab58bbe234?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","INS189110009","spotify:user:31f6akofznwqnn3tlgipil5vrb4y","2026-08-11T18:52:57Z"
